Title;Location;Company;Job Description;Date
Délégué Pédagogique (H/F);Casablanca, Grand Casablanca, Maroc;company name;"Casablanca
- Publiée le: 5 Nov-15:34
- Annonce N°:
9678903
Maison d’édition et de distribution de livres scolaires
et matériel pédagogique cherche un(e) délégué (e) pédagogique
pour:
- Assurer la promotion, la présentation des livres et
outils pédagogiques auprès des écoles et établissements scolaires à
travers le Maroc. Maintenir le suivi et le service auprès des clients
potentiels. Une connaissance et maîtrise parfaite du français et de
l’anglais est exigée et une expérience dans le domaine un atout. Le
poste est basé à Casablnaca et demande une mobilité sur véhicule à
travers toute le territoire national.
- Domaine : Édition /
Imprimerie / Journalisme
- Fonction : Commercial particuliers
(B2C)
- Contrat : CDI
- Entreprise : EDC
- Salaire : 6 000 -
8 000 DH
- Niveau d'études : Bac plus 3
- Annonceur:
- Adil";21.05.2024
Commerciaux en Assurance Auto Et Rc Decennale;Rabat, Rabat-Salé-Zemmour-Zaër, Maroc;Net Courtage Assurances;"NET COURTAGE ASSURANCES (NCA) a une belle opportunité d'emploi. Des
postes de Commerciaux Sédentaires en Assurances à pourvoir !! -
Commerciaux en Assurance Auto - Commerciaux en Assurance Décennale Une
expérience réussie d'un an au minimum en Télévente ou en Assurances
(Santé, Auto, Décennale et Emprunteur) est obligatoire pour le poste -
Offre à pourvoir en CDI à RABAT AGDAL. - Salaire de 5000Dh à 7000dh +
primes (commerciaux Assurance Auto). - Salaire de 6000dh + Primes
(Décennale). - Salaire de 5000Dh + primes (expérimentés en télévente).
- horaire fixe avec un environnement jeune et dynamique. - Une
couverture CNSS et une complémentaire santé (RMA). Pour réussir ce
poste vos missions seront les suivantes: - Comparer les garanties,
conseiller et orienter vos clients vers la solution la plus appropriée
à leurs besoins. - Respecter la politique de diversification des
offres en fonction des attentes des clients. - Négocier et suivre les
ventes jusqu'à la réception des contrats. - Garantir la qualité de la
prestation à son plus haut niveau.
Profil Recherché
- Vous êtes
attiré(e) par le métier de la vente et vous disposez
idéalement
d'une expérience commerciale réussie d’une année au
minimum en Télévente
ou en assurances;
- Vous êtes Expert en
assurances (Auto et Décennale );
- Vous êtes en mesure de
Construire et développer un porte feuille client tout
en
assurant la qualité du service;
- Vous êtes reconnu(e) pour votre
bon sens relationnel;
- Vous avez l'esprit du challenge et du
business;
Alors ce poste est fait pour vous.
**Pour plus
d’informations merci de nous contacter sur le**:
0537682549
**Mobile et whatsapp**: 0666037055
Avantages
sociaux et autres
**Vous bénéficierez**:
- Un contrat
CDI
- CNSS Dès le 1er jour de production
- Une bonne couverture
sociale ( RMA comme complémentaire santé )
- Des challenge
hebdomadaire
- Une évolution et mobilité à
l'interne
Amplitude horaire
HORAIRE FIXE";21.05.2024
Stagiaire en Maintenance Informatique;Rabat, Rabat-Salé-Zemmour-Zaër, Maroc;company name;"Rabat
- Publiée le: 6 Nov-13:34
- Annonce N°: 9678399
On
cherche des Stagiaire en Maintenance Informatique polyvalents
en:
- Installation et préparation du matériel
informatique
Poste Basé a Temara
- Domaine : Informatique /
Multimédia / Internet
- Fonction : Informatique -
Systèmes/Réseaux
- Contrat : Stage
- Entreprise :
HACOMPUTER
- Salaire : A discuter
- Niveau d'études : Bac plus
2
- Annonceur:
- zakaria aatik- Téléphone:
- 00";21.05.2024
Aide Comptable;Casablanca, Grand Casablanca, Maroc;company name;"Casablanca
- Publiée le: 6 Nov-10:47
- Annonce N°:
9679363
Société basée à belvédère, nous cherchons aide
comptable avec stage preaumbauche bac + 4
exp2anscontinuesaisi
/logicialMerci d’envoyer votre CV
- Domaine : Entreprise / Import /
Export
- Fonction : Comptabilite/Gestion/Audit/Finance
- Contrat
: A discuter
- Entreprise : CASA ENERGIE
- Salaire : A
discuter
- Niveau d'études : Bac plus 4
- Annonceur:
- CASA
ENERGIE";21.05.2024
Activité Facile !!! Salaire Motivant, Primes;Casablanca, Grand Casablanca, Maroc;Monjob;"En tant qu’acteur majeur de la Relation Clientèle en FRANCE. MON JOB
EL recrute des Téléconseillers francophones motivés pour travailler
parmi notre grande famille à MAARIF. - Vous avez un très bon niveau en
FRANÇAIS ? - Vous avez une bonne capacité de communication ? - Vous
êtes à la recherche d’une belle expérience professionnelle ? - Vous
êtes prêt à rejoindre une équipe innovante ? Vos missions : - Proposer
à votre interlocuteur un programme gratuit tout en suivant une
procédure. - Traiter les objections de clients tout en garantissant la
réalisation des objectifs quantitatifs et qualitatifs pour le
développement du chiffre d’affaires de votre activité.
Profil
Recherché
- Débutant ou expérimenté.
- Une parfaite maitrise du
français.
- Excellente approche client et forte capacité à
convaincre.
Avantages sociaux et autres
- Formation
rémunérée à 100 %
- Un salaire attractif (Fixe + primes
déplafonnées).
- Couverture sociale.
- Evolution et promotion en
interne
- Cadre de travail agréable
- WEEK END
OFF
Amplitude horaire
44 heures";21.05.2024
Stage Et Formation;Casablanca, Grand Casablanca, Maroc;company name;"Casablanca
- Publiée le: 6 Nov-12:43
- Annonce N°:
9679470
Notre cabinet cherche des stagiaires ponctuelles et
sérieuses, avec la possibilité de recrutement, et une formation
assurée,région SIDI MOUMEN, HAY MOHAMMADI, BERNOUSSI ,
- Domaine :
Comptabilité / Gestion / Audit
- Fonction :
Comptabilite/Gestion/Audit/Finance
- Contrat : Stage
-
Entreprise : AIF CONSULTING
- Salaire : A discuter
- Niveau
d'études : Pas important
- Annonceur:
- Cabinet aif consulting-
Téléphone:
- 066-0";21.05.2024
Nous Cherchons Pour Notre Centre Un Coach;Salé, Rabat-Salé-Zemmour-Zaër, Maroc;2M Business;"Nous cherchons pour notre centre un Coach Qualité en centre d'appel
qui assurera le suivi qualité et le coaching d'une équipe en émission
d'appel, qui aura comme mission : - Écouter à chaud et à froid les
appels effectués par les conseillers, - Évaluer le respect de la trame
d'appel et les procédures.
Profil Recherché
Parfaitement
francophone à l’oral comme à l’écrit
- Reconnu pour votre sens
commercial, vos capacités de négociation et persuasion
- Souriant,
dynamique et vous êtes orienté résultat
- Capable de vous adapter à
un contexte réactif et exigeant et vous avez le goût du challenge
-
Motivé pour travailler en équipe
Avantages sociaux et
autres
Salaire motivant + primes déplafonnée +contrat CDI
(CNSS/AMO)
Un cadre de travail motivant (proche de toutes
commodités Espace climatisé)
Des avantages sociaux et des primes
non plafonnées
Amplitude horaire
10H00- 19H00 (1H de pause
déjeuner )WEEKEND OFF";21.05.2024
Technico-commercial;Casablanca, Grand Casablanca, Maroc;company name;"Casablanca
- Publiée le: 6 Nov-13:29
- Annonce N°:
9679528
Oualanger Échafaudage, une entreprise renommée dans le
domaine de la vente, location, montage et démontage d'échafaudage,
recherche des professionnels enthousiastes pour rejoindre son équipe
en tant que Technico-Commercial.
- Domaine : Construction /
Btp
- Fonction : Commercial/Technico-Commercial
- Contrat :
CDI
- Entreprise : Oualanger Echafaudage
- Salaire : A
discuter
- Niveau d'études : Bac plus 3
- Annonceur:
-
Abdelkebir KARIM";21.05.2024
Recrutement Immédiat à Kenitra;Salé, Rabat-Salé-Zemmour-Zaër, Maroc;2M Business;"Nous cherchons des Commerciaux BtoB à kénitra, alors pourquoi pas vous
? Vous souhaitez travailler dans un environnement agréable avec de
réelles perspectives d’évolution, nous recrutons pour un de nos
projets en BtoB. Vos interlocuteurs seront uniquement des
professionnels du domaine. Rejoignez une équipe de commerciaux
dynamiques et motivés
Profil Recherché
Parfaitement francophone
à l’oral comme à l’écrit
- Reconnu pour votre sens commercial, vos
capacités de négociation et persuasion
- Souriant, dynamique et
vous êtes orienté résultat
- Capable de vous adapter à un contexte
réactif et exigeant et vous avez le goût du challenge
- Motivé pour
travailler en équipe
Avantages sociaux et autres
Salaire
motivant + primes déplafonnée +contrat CDI (CNSS/AMO)
Un cadre de
travail motivant (proche de toutes commodités Espace climatisé)
Des
avantages sociaux et des primes non plafonnées
Amplitude
horaire
10H00- 19H00 (1H de pause déjeuner )WEEKEND OFF";21.05.2024
Serveuse;Casablanca, Grand Casablanca, Maroc;company name;"Casablanca
- Publiée le: 6 Nov-13:10
- Annonce N°:
9679506
Bonjour
Nous sommes besoin d'une fille élégante
et présentable pour un poste de serveuse et barman au sein d'une café
shop a sidi bernoussi
- Domaine : Commercial / Vente
- Fonction
: Cuisinier/Serveur(se)/Femme ménage/Nounou
- Contrat : A
discuter
- Entreprise : Coffee shop
- Salaire : A discuter
-
Niveau d'études : Pas important
- Annonceur:
- Youness";21.05.2024
